city,country,population
Tokyo,Japan,35676000
New York,United States,19354922
Mexico City,Mexico,19028000
Mumbai,India,18978000
Sao Paulo,Brazil,18845000
Delhi,India,15926000
Shanghai,China,14987000
Los Angeles,United States,12815475
Dhaka,Bangladesh,12797394
Buenos Aires,Argentina,12795000
Karachi,Pakistan,12130000
Cairo,Egypt,11893000
Osaka,Japan,11294000
Beijing,China,11106000
Manila,Philippines,11100000
Moscow,Russia,10452000
Istanbul,Turkey,10061000
Paris,France,9904000
Seoul,South-Korea,9796000
Lagos,Nigeria,9466000
Jakarta,Indonesia,9125000
Chicago,United States,8675982
London,United Kingdom,8567000
Lima,Peru,8012000
Tehran,Iran,7873000
Kinshasa,Congo (Kinshasa),7843000
Bogota,Colombia,7772000
Hong Kong,Hong Kong,7206000
Taipei,Taiwan,6900273
